	ÐÐºÅ	 µ¥´Ê	 ÀàÐÍ	 ¼ÇºÅÐÎÊ½
	100	 )	 ·Ö¸ô·û	 < ) ,->
 	101	 return	 ¹Ø¼ü×Ö	 < return ,->
	101	 1	 ³£Êý	 <num, 1 >
	101	 ;	 ·Ö¸ô·û	 < ; ,->
 	102	 else	 ¹Ø¼ü×Ö	 < else ,->
	102	 if	 ¹Ø¼ü×Ö	 < if ,->
	102	 (	 ·Ö¸ô·û	 < ( ,->
 	102	 strcmp	 ±êÊ¶·û	 <id, 27 >
 	102	 (	 ·Ö¸ô·û	 < ( ,->
 	102	 strToken	 ±êÊ¶·û	 <id, 10 >
 	102	 ,	 ·Ö¸ô·û	 < , ,->
 	102	 "extern"	 ×Ö·û´®	 < "extern" ,->
 	102	 )	 ·Ö¸ô·û	 < ) ,->
 	102	 =	 ²Ù×÷·û	 < assign-op ,->
 	102	 =	 ²Ù×÷·û	 < assign-op ,->
 	102	 0	 ³£Êý	 <num, 0 >
	102	 )	 ·Ö¸ô·û	 < ) ,->
 	103	 return	 ¹Ø¼ü×Ö	 < return ,->
	103	 1	 ³£Êý	 <num, 1 >
	103	 ;	 ·Ö¸ô·û	 < ; ,->
 	104	 else	 ¹Ø¼ü×Ö	 < else ,->
	104	 if	 ¹Ø¼ü×Ö	 < if ,->
	104	 (	 ·Ö¸ô·û	 < ( ,->
 	104	 strcmp	 ±êÊ¶·û	 <id, 27 >
 	104	 (	 ·Ö¸ô·û	 < ( ,->
 	104	 strToken	 ±êÊ¶·û	 <id, 10 >
 	104	 ,	 ·Ö¸ô·û	 < , ,->
 	104	 "float"	 ×Ö·û´®	 < "float" ,->
 	104	 )	 ·Ö¸ô·û	 < ) ,->
 	104	 =	 ²Ù×÷·û	 < assign-op ,->
 	104	 =	 ²Ù×÷·û	 < assign-op ,->
 	104	 0	 ³£Êý	 <num, 0 >
	104	 )	 ·Ö¸ô·û	 < ) ,->
 	105	 return	 ¹Ø¼ü×Ö	 < return ,->
	105	 1	 ³£Êý	 <num, 1 >
	105	 ;	 ·Ö¸ô·û	 < ; ,->
 	106	 else	 ¹Ø¼ü×Ö	 < else ,->
	106	 if	 ¹Ø¼ü×Ö	 < if ,->
	106	 (	 ·Ö¸ô·û	 < ( ,->
 	106	 strcmp	 ±êÊ¶·û	 <id, 27 >
 	106	 (	 ·Ö¸ô·û	 < ( ,->
 	106	 strToken	 ±êÊ¶·û	 <id, 10 >
 	106	 ,	 ·Ö¸ô·û	 < , ,->
 	106	 "for"	 ×Ö·û´®	 < "for" ,->
 	106	 )	 ·Ö¸ô·û	 < ) ,->
 	106	 =	 ²Ù×÷·û	 < assign-op ,->
 	106	 =	 ²Ù×÷·û	 < assign-op ,->
 	106	 0	 ³£Êý	 <num, 0 >
	106	 )	 ·Ö¸ô·û	 < ) ,->
 	107	 return	 ¹Ø¼ü×Ö	 < return ,->
	107	 1	 ³£Êý	 <num, 1 >
	107	 ;	 ·Ö¸ô·û	 < ; ,->
 	108	 else	 ¹Ø¼ü×Ö	 < else ,->
	108	 if	 ¹Ø¼ü×Ö	 < if ,->
	108	 (	 ·Ö¸ô·û	 < ( ,->
 	108	 strcmp	 ±êÊ¶·û	 <id, 27 >
 	108	 (	 ·Ö¸ô·û	 < ( ,->
 	108	 strToken	 ±êÊ¶·û	 <id, 10 >
 	108	 ,	 ·Ö¸ô·û	 < , ,->
 	108	 "goto"	 ×Ö·û´®	 < "goto" ,->
 	108	 )	 ·Ö¸ô·û	 < ) ,->
 	108	 =	 ²Ù×÷·û	 < assign-op ,->
 	108	 =	 ²Ù×÷·û	 < assign-op ,->
 	108	 0	 ³£Êý	 <num, 0 >
	108	 )	 ·Ö¸ô·û	 < ) ,->
 	109	 return	 ¹Ø¼ü×Ö	 < return ,->
	109	 1	 ³£Êý	 <num, 1 >
	109	 ;	 ·Ö¸ô·û	 < ; ,->
 	110	 else	 ¹Ø¼ü×Ö	 < else ,->
	110	 if	 ¹Ø¼ü×Ö	 < if ,->
	110	 (	 ·Ö¸ô·û	 < ( ,->
 	110	 strcmp	 ±êÊ¶·û	 <id, 27 >
 	110	 (	 ·Ö¸ô·û	 < ( ,->
 	110	 strToken	 ±êÊ¶·û	 <id, 10 >
 	110	 ,	 ·Ö¸ô·û	 < , ,->
 	110	 "if"	 ×Ö·û´®	 < "if" ,->
 	110	 )	 ·Ö¸ô·û	 < ) ,->
 	110	 =	 ²Ù×÷·û	 < assign-op ,->
 	110	 =	 ²Ù×÷·û	 < assign-op ,->
 	110	 0	 ³£Êý	 <num, 0 >
	110	 )	 ·Ö¸ô·û	 < ) ,->
 	111	 return	 ¹Ø¼ü×Ö	 < return ,->
	111	 1	 ³£Êý	 <num, 1 >
	111	 ;	 ·Ö¸ô·û	 < ; ,->
 	112	 else	 ¹Ø¼ü×Ö	 < else ,->
	112	 if	 ¹Ø¼ü×Ö	 < if ,->
	112	 (	 ·Ö¸ô·û	 < ( ,->
 	112	 strcmp	 ±êÊ¶·û	 <id, 27 >
 	112	 (	 ·Ö¸ô·û	 < ( ,->
 	112	 strToken	 ±êÊ¶·û	 <id, 10 >
 	112	 ,	 ·Ö¸ô·û	 < , ,->
 	112	 "int"	 ×Ö·û´®	 < "int" ,->
 	112	 )	 ·Ö¸ô·û	 < ) ,->
 	112	 =	 ²Ù×÷·û	 < assign-op ,->
 	112	 =	 ²Ù×÷·û	 < assign-op ,->
 	112	 0	 ³£Êý	 <num, 0 >
	112	 )	 ·Ö¸ô·û	 < ) ,->
 	113	 return	 ¹Ø¼ü×Ö	 < return ,->
	113	 1	 ³£Êý	 <num, 1 >
	113	 ;	 ·Ö¸ô·û	 < ; ,->
 	114	 else	 ¹Ø¼ü×Ö	 < else ,->
	114	 if	 ¹Ø¼ü×Ö	 < if ,->
	114	 (	 ·Ö¸ô·û	 < ( ,->
 	114	 strcmp	 ±êÊ¶·û	 <id, 27 >
 	114	 (	 ·Ö¸ô·û	 < ( ,->
 	114	 strToken	 ±êÊ¶·û	 <id, 10 >
 	114	 ,	 ·Ö¸ô·û	 < , ,->
 	114	 "long"	 ×Ö·û´®	 < "long" ,->
 	114	 )	 ·Ö¸ô·û	 < ) ,->
 	114	 =	 ²Ù×÷·û	 < assign-op ,->
 	114	 =	 ²Ù×÷·û	 < assign-op ,->
 	114	 0	 ³£Êý	 <num, 0 >
	114	 )	 ·Ö¸ô·û	 < ) ,->
 	115	 return	 ¹Ø¼ü×Ö	 < return ,->
	115	 1	 ³£Êý	 <num, 1 >
	115	 ;	 ·Ö¸ô·û	 < ; ,->
 	116	 else	 ¹Ø¼ü×Ö	 < else ,->
	116	 if	 ¹Ø¼ü×Ö	 < if ,->
	116	 (	 ·Ö¸ô·û	 < ( ,->
 	116	 strcmp	 ±êÊ¶·û	 <id, 27 >
 	116	 (	 ·Ö¸ô·û	 < ( ,->
 	116	 strToken	 ±êÊ¶·û	 <id, 10 >
 	116	 ,	 ·Ö¸ô·û	 < , ,->
 	116	 "register"	 ×Ö·û´®	 < "register" ,->
 	116	 )	 ·Ö¸ô·û	 < ) ,->
 	116	 =	 ²Ù×÷·û	 < assign-op ,->
 	116	 =	 ²Ù×÷·û	 < assign-op ,->
 	116	 0	 ³£Êý	 <num, 0 >
	116	 )	 ·Ö¸ô·û	 < ) ,->
 	117	 return	 ¹Ø¼ü×Ö	 < return ,->
	117	 1	 ³£Êý	 <num, 1 >
	117	 ;	 ·Ö¸ô·û	 < ; ,->
 	118	 else	 ¹Ø¼ü×Ö	 < else ,->
	118	 if	 ¹Ø¼ü×Ö	 < if ,->
	118	 (	 ·Ö¸ô·û	 < ( ,->
 	118	 strcmp	 ±êÊ¶·û	 <id, 27 >
 	118	 (	 ·Ö¸ô·û	 < ( ,->
 	118	 strToken	 ±êÊ¶·û	 <id, 10 >
 	118	 ,	 ·Ö¸ô·û	 < , ,->
 	118	 "return"	 ×Ö·û´®	 < "return" ,->
 	118	 )	 ·Ö¸ô·û	 < ) ,->
 	118	 =	 ²Ù×÷·û	 < assign-op ,->
 	118	 =	 ²Ù×÷·û	 < assign-op ,->
 	118	 0	 ³£Êý	 <num, 0 >
	118	 )	 ·Ö¸ô·û	 < ) ,->
 	119	 return	 ¹Ø¼ü×Ö	 < return ,->
	119	 1	 ³£Êý	 <num, 1 >
	119	 ;	 ·Ö¸ô·û	 < ; ,->
 	120	 else	 ¹Ø¼ü×Ö	 < else ,->
	120	 if	 ¹Ø¼ü×Ö	 < if ,->
	120	 (	 ·Ö¸ô·û	 < ( ,->
 	120	 strcmp	 ±êÊ¶·û	 <id, 27 >
 	120	 (	 ·Ö¸ô·û	 < ( ,->
 	120	 strToken	 ±êÊ¶·û	 <id, 10 >
 	120	 ,	 ·Ö¸ô·û	 < , ,->
 	120	 "short"	 ×Ö·û´®	 < "short" ,->
 	120	 )	 ·Ö¸ô·û	 < ) ,->
 	120	 =	 ²Ù×÷·û	 < assign-op ,->
 	120	 =	 ²Ù×÷·û	 < assign-op ,->
 	120	 0	 ³£Êý	 <num, 0 >
	120	 )	 ·Ö¸ô·û	 < ) ,->
 	121	 return	 ¹Ø¼ü×Ö	 < return ,->
	121	 1	 ³£Êý	 <num, 1 >
	121	 ;	 ·Ö¸ô·û	 < ; ,->
 	122	 else	 ¹Ø¼ü×Ö	 < else ,->
	122	 if	 ¹Ø¼ü×Ö	 < if ,->
	122	 (	 ·Ö¸ô·û	 < ( ,->
 	122	 strcmp	 ±êÊ¶·û	 <id, 27 >
 	122	 (	 ·Ö¸ô·û	 < ( ,->
 	122	 strToken	 ±êÊ¶·û	 <id, 10 >
 	122	 ,	 ·Ö¸ô·û	 < , ,->
 	122	 "signed"	 ×Ö·û´®	 < "signed" ,->
 	122	 )	 ·Ö¸ô·û	 < ) ,->
 	122	 =	 ²Ù×÷·û	 < assign-op ,->
 	122	 =	 ²Ù×÷·û	 < assign-op ,->
 	122	 0	 ³£Êý	 <num, 0 >
	122	 )	 ·Ö¸ô·û	 < ) ,->
 	123	 return	 ¹Ø¼ü×Ö	 < return ,->
	123	 1	 ³£Êý	 <num, 1 >
	123	 ;	 ·Ö¸ô·û	 < ; ,->
 	124	 else	 ¹Ø¼ü×Ö	 < else ,->
	124	 if	 ¹Ø¼ü×Ö	 < if ,->
	124	 (	 ·Ö¸ô·û	 < ( ,->
 	124	 strcmp	 ±êÊ¶·û	 <id, 27 >
 	124	 (	 ·Ö¸ô·û	 < ( ,->
 	124	 strToken	 ±êÊ¶·û	 <id, 10 >
 	124	 ,	 ·Ö¸ô·û	 < , ,->
 	124	 "sizeof"	 ×Ö·û´®	 < "sizeof" ,->
 	124	 )	 ·Ö¸ô·û	 < ) ,->
 	124	 =	 ²Ù×÷·û	 < assign-op ,->
 	124	 =	 ²Ù×÷·û	 < assign-op ,->
 	124	 0	 ³£Êý	 <num, 0 >
	124	 )	 ·Ö¸ô·û	 < ) ,->
 	125	 return	 ¹Ø¼ü×Ö	 < return ,->
	125	 1	 ³£Êý	 <num, 1 >
	125	 ;	 ·Ö¸ô·û	 < ; ,->
 	126	 else	 ¹Ø¼ü×Ö	 < else ,->
	126	 if	 ¹Ø¼ü×Ö	 < if ,->
	126	 (	 ·Ö¸ô·û	 < ( ,->
 	126	 strcmp	 ±êÊ¶·û	 <id, 27 >
 	126	 (	 ·Ö¸ô·û	 < ( ,->
 	126	 strToken	 ±êÊ¶·û	 <id, 10 >
 	126	 ,	 ·Ö¸ô·û	 < , ,->
 	126	 "static"	 ×Ö·û´®	 < "static" ,->
 	126	 )	 ·Ö¸ô·û	 < ) ,->
 	126	 =	 ²Ù×÷·û	 < assign-op ,->
 	126	 =	 ²Ù×÷·û	 < assign-op ,->
 	126	 0	 ³£Êý	 <num, 0 >
	126	 )	 ·Ö¸ô·û	 < ) ,->
 	127	 return	 ¹Ø¼ü×Ö	 < return ,->
	127	 1	 ³£Êý	 <num, 1 >
	127	 ;	 ·Ö¸ô·û	 < ; ,->
 	128	 else	 ¹Ø¼ü×Ö	 < else ,->
	128	 if	 ¹Ø¼ü×Ö	 < if ,->
	128	 (	 ·Ö¸ô·û	 < ( ,->
 	128	 strcmp	 ±êÊ¶·û	 <id, 27 >
 	128	 (	 ·Ö¸ô·û	 < ( ,->
 	128	 strToken	 ±êÊ¶·û	 <id, 10 >
 	128	 ,	 ·Ö¸ô·û	 < , ,->
 	128	 "struct"	 ×Ö·û´®	 < "struct" ,->
 	128	 )	 ·Ö¸ô·û	 < ) ,->
 	128	 =	 ²Ù×÷·û	 < assign-op ,->
 	128	 =	 ²Ù×÷·û	 < assign-op ,->
 	128	 0	 ³£Êý	 <num, 0 >
	128	 )	 ·Ö¸ô·û	 < ) ,->
 	129	 return	 ¹Ø¼ü×Ö	 < return ,->
	129	 1	 ³£Êý	 <num, 1 >
	129	 ;	 ·Ö¸ô·û	 < ; ,->
 	130	 else	 ¹Ø¼ü×Ö	 < else ,->
	130	 if	 ¹Ø¼ü×Ö	 < if ,->
	130	 (	 ·Ö¸ô·û	 < ( ,->
 	130	 strcmp	 ±êÊ¶·û	 <id, 27 >
 	130	 (	 ·Ö¸ô·û	 < ( ,->
 	130	 strToken	 ±êÊ¶·û	 <id, 10 >
 	130	 ,	 ·Ö¸ô·û	 < , ,->
 	130	 "switch"	 ×Ö·û´®	 < "switch" ,->
 	130	 )	 ·Ö¸ô·û	 < ) ,->
 	130	 =	 ²Ù×÷·û	 < assign-op ,->
 	130	 =	 ²Ù×÷·û	 < assign-op ,->
 	130	 0	 ³£Êý	 <num, 0 >
	130	 )	 ·Ö¸ô·û	 < ) ,->
 	131	 return	 ¹Ø¼ü×Ö	 < return ,->
	131	 1	 ³£Êý	 <num, 1 >
	131	 ;	 ·Ö¸ô·û	 < ; ,->
 	132	 else	 ¹Ø¼ü×Ö	 < else ,->
	132	 if	 ¹Ø¼ü×Ö	 < if ,->
	132	 (	 ·Ö¸ô·û	 < ( ,->
 	132	 strcmp	 ±êÊ¶·û	 <id, 27 >
 	132	 (	 ·Ö¸ô·û	 < ( ,->
 	132	 strToken	 ±êÊ¶·û	 <id, 10 >
 	132	 ,	 ·Ö¸ô·û	 < , ,->
 	132	 "typedef"	 ×Ö·û´®	 < "typedef" ,->
 	132	 )	 ·Ö¸ô·û	 < ) ,->
 	132	 =	 ²Ù×÷·û	 < assign-op ,->
 	132	 =	 ²Ù×÷·û	 < assign-op ,->
 	132	 0	 ³£Êý	 <num, 0 >
	132	 )	 ·Ö¸ô·û	 < ) ,->
 	133	 return	 ¹Ø¼ü×Ö	 < return ,->
	133	 1	 ³£Êý	 <num, 1 >
	133	 ;	 ·Ö¸ô·û	 < ; ,->
 	134	 else	 ¹Ø¼ü×Ö	 < else ,->
	134	 if	 ¹Ø¼ü×Ö	 < if ,->
	134	 (	 ·Ö¸ô·û	 < ( ,->
 	134	 strcmp	 ±êÊ¶·û	 <id, 27 >
 	134	 (	 ·Ö¸ô·û	 < ( ,->
 	134	 strToken	 ±êÊ¶·û	 <id, 10 >
 	134	 ,	 ·Ö¸ô·û	 < , ,->
 	134	 "union"	 ×Ö·û´®	 < "union" ,->
 	134	 )	 ·Ö¸ô·û	 < ) ,->
 	134	 =	 ²Ù×÷·û	 < assign-op ,->
 	134	 =	 ²Ù×÷·û	 < assign-op ,->
 	134	 0	 ³£Êý	 <num, 0 >
	134	 )	 ·Ö¸ô·û	 < ) ,->
 	135	 return	 ¹Ø¼ü×Ö	 < return ,->
	135	 1	 ³£Êý	 <num, 1 >
	135	 ;	 ·Ö¸ô·û	 < ; ,->
 	136	 else	 ¹Ø¼ü×Ö	 < else ,->
	136	 if	 ¹Ø¼ü×Ö	 < if ,->
	136	 (	 ·Ö¸ô·û	 < ( ,->
 	136	 strcmp	 ±êÊ¶·û	 <id, 27 >
 	136	 (	 ·Ö¸ô·û	 < ( ,->
 	136	 strToken	 ±êÊ¶·û	 <id, 10 >
 	136	 ,	 ·Ö¸ô·û	 < , ,->
 	136	 "unsigned"	 ×Ö·û´®	 < "unsigned" ,->
 	136	 )	 ·Ö¸ô·û	 < ) ,->
 	136	 =	 ²Ù×÷·û	 < assign-op ,->
 	136	 =	 ²Ù×÷·û	 < assign-op ,->
 	136	 0	 ³£Êý	 <num, 0 >
	136	 )	 ·Ö¸ô·û	 < ) ,->
 	137	 return	 ¹Ø¼ü×Ö	 < return ,->
	137	 1	 ³£Êý	 <num, 1 >
	137	 ;	 ·Ö¸ô·û	 < ; ,->
 	138	 else	 ¹Ø¼ü×Ö	 < else ,->
	138	 if	 ¹Ø¼ü×Ö	 < if ,->
	138	 (	 ·Ö¸ô·û	 < ( ,->
 	138	 strcmp	 ±êÊ¶·û	 <id, 27 >
 	138	 (	 ·Ö¸ô·û	 < ( ,->
 	138	 strToken	 ±êÊ¶·û	 <id, 10 >
 	138	 ,	 ·Ö¸ô·û	 < , ,->
 	138	 "void"	 ×Ö·û´®	 < "void" ,->
 	138	 )	 ·Ö¸ô·û	 < ) ,->
 	138	 =	 ²Ù×÷·û	 < assign-op ,->
 	138	 =	 ²Ù×÷·û	 < assign-op ,->
 	138	 0	 ³£Êý	 <num, 0 >
	138	 )	 ·Ö¸ô·û	 < ) ,->
 	139	 return	 ¹Ø¼ü×Ö	 < return ,->
	139	 1	 ³£Êý	 <num, 1 >
	139	 ;	 ·Ö¸ô·û	 < ; ,->
 	140	 else	 ¹Ø¼ü×Ö	 < else ,->
	140	 if	 ¹Ø¼ü×Ö	 < if ,->
	140	 (	 ·Ö¸ô·û	 < ( ,->
 	140	 strcmp	 ±êÊ¶·û	 <id, 27 >
 	140	 (	 ·Ö¸ô·û	 < ( ,->
 	140	 strToken	 ±êÊ¶·û	 <id, 10 >
 	140	 ,	 ·Ö¸ô·û	 < , ,->
 	140	 "volatile"	 ×Ö·û´®	 < "volatile" ,->
 	140	 )	 ·Ö¸ô·û	 < ) ,->
 	140	 =	 ²Ù×÷·û	 < assign-op ,->
 	140	 =	 ²Ù×÷·û	 < assign-op ,->
 	140	 0	 ³£Êý	 <num, 0 >
	140	 )	 ·Ö¸ô·û	 < ) ,->
 	141	 return	 ¹Ø¼ü×Ö	 < return ,->
	141	 1	 ³£Êý	 <num, 1 >
	141	 ;	 ·Ö¸ô·û	 < ; ,->
 	142	 else	 ¹Ø¼ü×Ö	 < else ,->
	142	 if	 ¹Ø¼ü×Ö	 < if ,->
	142	 (	 ·Ö¸ô·û	 < ( ,->
 	142	 strcmp	 ±êÊ¶·û	 <id, 27 >
 	142	 (	 ·Ö¸ô·û	 < ( ,->
 	142	 strToken	 ±êÊ¶·û	 <id, 10 >
 	142	 ,	 ·Ö¸ô·û	 < , ,->
 	142	 "while"	 ×Ö·û´®	 < "while" ,->
 	142	 )	 ·Ö¸ô·û	 < ) ,->
 	142	 =	 ²Ù×÷·û	 < assign-op ,->
 	142	 =	 ²Ù×÷·û	 < assign-op ,->
 	142	 0	 ³£Êý	 <num, 0 >
	142	 )	 ·Ö¸ô·û	 < ) ,->
 	143	 return	 ¹Ø¼ü×Ö	 < return ,->
	143	 1	 ³£Êý	 <num, 1 >
	143	 ;	 ·Ö¸ô·û	 < ; ,->
 	144	 else	 ¹Ø¼ü×Ö	 < else ,->
	144	 return	 ¹Ø¼ü×Ö	 < return ,->
	144	 0	 ³£Êý	 <num, 0 >
	144	 ;	 ·Ö¸ô·û	 < ; ,->
 	145	 }	 ·Ö¸ô·û	 < } ,->
 	149	 main	 ±êÊ¶·û	 <id, 28 >
 	149	 (	 ·Ö¸ô·û	 < ( ,->
 	149	 )	 ·Ö¸ô·û	 < ) ,->
 	150	 {	 ·Ö¸ô·û	 < { ,->
 	151	 if	 ¹Ø¼ü×Ö	 < if ,->
	151	 (	 ·Ö¸ô·û	 < ( ,->
 	151	 (	 ·Ö¸ô·û	 < ( ,->
 	151	 infile	 ±êÊ¶·û	 <id, 8 >
 	151	 =	 ²Ù×÷·û	 < assign-op ,->
 	151	 fopen	 ±êÊ¶·û	 <id, 29 >
 	151	 (	 ·Ö¸ô·û	 < ( ,->
 	151	 "source.txt"	 ×Ö·û´®	 < "source.txt" ,->
 	151	 ,	 ·Ö¸ô·û	 < , ,->
 	151	 "r"	 ×Ö·û´®	 < "r" ,->
 	151	 )	 ·Ö¸ô·û	 < ) ,->
 	151	 )	 ·Ö¸ô·û	 < ) ,->
 	151	 =	 ²Ù×÷·û	 < assign-op ,->
 	151	 =	 ²Ù×÷·û	 < assign-op ,->
 	151	 NULL	 ±êÊ¶·û	 <id, 30 >
 	151	 )	 ·Ö¸ô·û	 < ) ,->
 	152	 {	 ·Ö¸ô·û	 < { ,->
 	153	 printf	 ±êÊ¶·û	 <id, 19 >
 	153	 (	 ·Ö¸ô·û	 < ( ,->
 	153	 "Open source file error!\n"	 ×Ö·û´®	 < "Open source file error!\n" ,->
 	153	 )	 ·Ö¸ô·û	 < ) ,->
 	153	 ;	 ·Ö¸ô·û	 < ; ,->
 	154	 exit	 ±êÊ¶·û	 <id, 31 >
 	154	 (	 ·Ö¸ô·û	 < ( ,->
 	154	 0	 ³£Êý	 <num, 0 >
	154	 )	 ·Ö¸ô·û	 < ) ,->
 	154	 ;	 ·Ö¸ô·û	 < ; ,->
 	155	 }	 ·Ö¸ô·û	 < } ,->
 	156	 if	 ¹Ø¼ü×Ö	 < if ,->
	156	 (	 ·Ö¸ô·û	 < ( ,->
 	156	 (	 ·Ö¸ô·û	 < ( ,->
 	156	 outfile	 ±êÊ¶·û	 <id, 9 >
 	156	 =	 ²Ù×÷·û	 < assign-op ,->
 	156	 fopen	 ±êÊ¶·û	 <id, 29 >
 	156	 (	 ·Ö¸ô·û	 < ( ,->
 	156	 "out.txt"	 ×Ö·û´®	 < "out.txt" ,->
 	156	 ,	 ·Ö¸ô·û	 < , ,->
 	156	 "w"	 ×Ö·û´®	 < "w" ,->
 	156	 )	 ·Ö¸ô·û	 < ) ,->
 	156	 )	 ·Ö¸ô·û	 < ) ,->
 	156	 =	 ²Ù×÷·û	 < assign-op ,->
 	156	 =	 ²Ù×÷·û	 < assign-op ,->
 	156	 NULL	 ±êÊ¶·û	 <id, 30 >
 	156	 )	 ·Ö¸ô·û	 < ) ,->
 	157	 {	 ·Ö¸ô·û	 < { ,->
 	158	 printf	 ±êÊ¶·û	 <id, 19 >
 	158	 (	 ·Ö¸ô·û	 < ( ,->
 	158	 "Open dest file error!\n"	 ×Ö·û´®	 < "Open dest file error!\n" ,->
 	158	 )	 ·Ö¸ô·û	 < ) ,->
 	158	 ;	 ·Ö¸ô·û	 < ; ,->
 	159	 exit	 ±êÊ¶·û	 <id, 31 >
 	159	 (	 ·Ö¸ô·û	 < ( ,->
 	159	 0	 ³£Êý	 <num, 0 >
	159	 )	 ·Ö¸ô·û	 < ) ,->
 	159	 ;	 ·Ö¸ô·û	 < ; ,->
 	160	 }	 ·Ö¸ô·û	 < } ,->
 	161	 GetChar	 ±êÊ¶·û	 <id, 16 >
 	161	 (	 ·Ö¸ô·û	 < ( ,->
 	161	 )	 ·Ö¸ô·û	 < ) ,->
 	161	 ;	 ·Ö¸ô·û	 < ; ,->
 	162	 GetBC	 ±êÊ¶·û	 <id, 20 >
 	162	 (	 ·Ö¸ô·û	 < ( ,->
 	162	 )	 ·Ö¸ô·û	 < ) ,->
 	162	 ;	 ·Ö¸ô·û	 < ; ,->
 	163	 while	 ¹Ø¼ü×Ö	 < while ,->
	163	 (	 ·Ö¸ô·û	 < ( ,->
 	163	 ch	 ±êÊ¶·û	 <id, 11 >
 	163	 !=	 ²Ù×÷·û	 < != ,->
 	163	 EOF	 ±êÊ¶·û	 <id, 18 >
 	163	 )	 ·Ö¸ô·û	 < ) ,->
 	164	 {	 ·Ö¸ô·û	 < { ,->
 	166	 if	 ¹Ø¼ü×Ö	 < if ,->
	166	 (	 ·Ö¸ô·û	 < ( ,->
 	166	 IsDigit	 ±êÊ¶·û	 <id, 23 >
 	166	 (	 ·Ö¸ô·û	 < ( ,->
 	166	 ch	 ±êÊ¶·û	 <id, 11 >
 	166	 )	 ·Ö¸ô·û	 < ) ,->
 	166	 )	 ·Ö¸ô·û	 < ) ,->
 	167	 {	 ·Ö¸ô·û	 < { ,->
 	168	 pos	 ±êÊ¶·û	 <id, 12 >
 	168	 =	 ²Ù×÷·û	 < assign-op ,->
 	168	 0	 ³£Êý	 <num, 0 >
	168	 ;	 ·Ö¸ô·û	 < ; ,->
 	169	 while	 ¹Ø¼ü×Ö	 < while ,->
	169	 (	 ·Ö¸ô·û	 < ( ,->
 	169	 IsDigit	 ±êÊ¶·û	 <id, 23 >
 	169	 (	 ·Ö¸ô·û	 < ( ,->
 	169	 ch	 ±êÊ¶·û	 <id, 11 >
 	169	 )	 ·Ö¸ô·û	 < ) ,->
 	169	 )	 ·Ö¸ô·û	 < ) ,->
 	170	 {	 ·Ö¸ô·û	 < { ,->
 	171	 Concat	 ±êÊ¶·û	 <id, 21 >
 	171	 (	 ·Ö¸ô·û	 < ( ,->
 	171	 ch	 ±êÊ¶·û	 <id, 11 >
 	171	 )	 ·Ö¸ô·û	 < ) ,->
 	171	 ;	 ·Ö¸ô·û	 < ; ,->
 	172	 GetChar	 ±êÊ¶·û	 <id, 16 >
 	172	 (	 ·Ö¸ô·û	 < ( ,->
 	172	 )	 ·Ö¸ô·û	 < ) ,->
 	172	 ;	 ·Ö¸ô·û	 < ; ,->
 	173	 }	 ·Ö¸ô·û	 < } ,->
 	175	 if	 ¹Ø¼ü×Ö	 < if ,->
	175	 (	 ·Ö¸ô·û	 < ( ,->
 	175	 IsLetter	 ±êÊ¶·û	 <id, 22 >
 	175	 (	 ·Ö¸ô·û	 < ( ,->
 	175	 ch	 ±êÊ¶·û	 <id, 11 >
 	175	 )	 ·Ö¸ô·û	 < ) ,->
 	175	 )	 ·Ö¸ô·û	 < ) ,->
 	176	 {	 ·Ö¸ô·û	 < { ,->
 	177	 strToken	 ±êÊ¶·û	 <id, 10 >
 	177	 [	 ·Ö¸ô·û	 < [ ,->
 	177	 0	 ³£Êý	 <num, 0 >
	177	 ]	 ·Ö¸ô·û	 < ] ,->
 	177	 =	 ²Ù×÷·û	 < assign-op ,->
 	177	 '\0'	 ×Ö·û´®	 < '\0' ,->
 	177	 ;	 ·Ö¸ô·û	 < ; ,->
 	178	 printf	 ±êÊ¶·û	 <id, 19 >
 	178	 (	 ·Ö¸ô·û	 < ( ,->
 	178	 "ç¬¬%dè¡Œæœ‰éžæ³•å­—ç¬¦ï¼ç»§ç»­åˆ†æž......\n"	 ×Ö·û´®	 < "ç¬¬%dè¡Œæœ‰éžæ³•å­—ç¬¦ï¼ç»§ç»­åˆ†æž......\n" ,->
 	178	 ,	 ·Ö¸ô·û	 < , ,->
 	178	 numberOflines	 ±êÊ¶·û	 <id, 13 >
 	178	 )	 ·Ö¸ô·û	 < ) ,->
 	178	 ;	 ·Ö¸ô·û	 < ; ,->
 	179	 while	 ¹Ø¼ü×Ö	 < while ,->
	179	 (	 ·Ö¸ô·û	 < ( ,->
 	179	 IsLetter	 ±êÊ¶·û	 <id, 22 >
 	179	 (	 ·Ö¸ô·û	 < ( ,->
 	179	 ch	 ±êÊ¶·û	 <id, 11 >
 	179	 )	 ·Ö¸ô·û	 < ) ,->
 	179	 )	 ·Ö¸ô·û	 < ) ,->
 	180	 GetChar	 ±êÊ¶·û	 <id, 16 >
 	180	 (	 ·Ö¸ô·û	 < ( ,->
 	180	 )	 ·Ö¸ô·û	 < ) ,->
 	180	 ;	 ·Ö¸ô·û	 < ; ,->
 	181	 }	 ·Ö¸ô·û	 < } ,->
 	182	 strToken	 ±êÊ¶·û	 <id, 10 >
 	182	 [	 ·Ö¸ô·û	 < [ ,->
 	182	 pos	 ±êÊ¶·û	 <id, 12 >
